Cytokine	ES	pval	padj	Group
IL-6	-1.436552895	0.124020914	0.367786157	Ccl5
IL-7	0.624319301	0.362736891	0.623685557	Ccl5
IL-9	1.464096947	0.111964593	0.356627964	Ccl5
IL-Y	-1.503170552	0.194900457	0.492983509	Ccl5
Leptin	-1.18187289	0.244312664	0.579447773	Ccl5
LIF	1.689912139	0.038609125	0.175798986	Ccl5
LIGHT	-1.094422498	0.348738169	0.623685557	Ccl5
LT-a1/b2	1.31720524	0.056561106	0.194570205	Ccl5
LT-a2/b1	-0.57182837	0.638103294	0.78525422	Ccl5
M-CSF	0.030301933	0.703984779	0.790183825	Ccl5
Noggin	-2.127860494	0.018931604	0.135676492	Ccl5
NP	0.953113243	0.328998134	0.623685557	Ccl5
OSM	0.81823215	0.249297298	0.579447773	Ccl5
OX40L	-0.633197902	0.556777295	0.74816949	Ccl5
PRL	-2.671373114	0.015202999	0.123749958	Ccl5
PSPN	-0.781185353	0.639849687	0.78525422	Ccl5
RANKL	-1.098853356	0.494652849	0.725528167	Ccl5
SCF	2.657373003	0.010448773	0.114380662	Ccl5
TGF-b1	-2.382638991	0.011970069	0.114380662	Ccl5
TL1A	-1.572996124	0.117585118	0.36115429	Ccl5
TNF-a	-0.312276984	0.714897451	0.790183825	Ccl5
TPO	-1.097605217	0.283977915	0.601954367	Ccl5
TRAIL	0.20528953	0.998919407	0.998919407	Ccl5
TSLP	0.904757484	0.293977714	0.601954367	Ccl5
TWEAK	-1.263479634	0.427847919	0.693270481	Ccl5
VEGF	0.923894992	0.291473771	0.601954367	Ccl5
4-1BBL	-0.462631517	0.085183695	0.488386517	Ccr2
AdipoQ	-0.362049711	0.138362226	0.575241369	Ccr2
ADSF	0.138584332	0.548604293	0.890188099	Ccr2
APRIL	0.21770198	0.333860294	0.700292325	Ccr2
BAFF	-0.312906171	0.223212121	0.61753341	Ccr2
C3a	-0.427121377	0.147083253	0.575241369	Ccr2
C5a	-0.336503641	0.170074359	0.575241369	Ccr2
CD27L	0.315683658	0.208707182	0.61753341	Ccr2
CD30L	0.189654516	0.653891941	0.922213319	Ccr2
CD40L	0.046349288	0.815493895	0.922213319	Ccr2
CT-1	-0.517161367	0.080420521	0.488386517	Ccr2
Decorin	-0.426264675	0.170835348	0.575241369	Ccr2
EGF	0.103714134	0.742430609	0.922213319	Ccr2
FasL	-0.429926471	0.102383232	0.541743239	Ccr2
FGF-b	-0.58527866	0.06524864	0.488386517	Ccr2
FLT3L	0.297521627	0.293977533	0.680697209	Ccr2
G-CSF	0.113519462	0.73083554	0.922213319	Ccr2
GDNF	0.385894148	0.173910181	0.575241369	Ccr2
GITRL	-0.300966477	0.300773185	0.680697209	Ccr2
GM-CSF	-0.039180037	0.605311877	0.922213319	Ccr2
HGF	0.044884714	0.853639077	0.929277983	Ccr2
IFN-a1	-0.829064496	0.000365686	0.006289801	Ccr2
IFN-b	-0.933201169	0.000491181	0.007040258	Ccr2
IFN-g	-0.025482195	0.836426034	0.922213319	Ccr2
IFN-e	-0.37720504	0.128256001	0.575241369	Ccr2
IFN-k	-0.154012065	0.408187498	0.780091663	Ccr2
IFN-l2	0.357919288	0.198287391	0.609025558	Ccr2
IGF-1	0.248404565	0.315854761	0.684169416	Ccr2
IL-10	-0.172275033	0.366614782	0.733229565	Ccr2
IL-11	0.042837781	0.693131629	0.922213319	Ccr2
IL-12	-0.783318872	0.001847872	0.022702427	Ccr2
IL-13	0.198003922	0.542109292	0.890188099	Ccr2
IL-15	-0.94129463	9.20498E-05	0.001979071	Ccr2
IL-17A	0.14993715	0.787164429	0.922213319	Ccr2
IL-17B	-0.145191598	0.477823745	0.856100876	Ccr2
IL-17C	0.440939747	0.158134135	0.575241369	Ccr2
IL-17D	0.122368206	0.81359766	0.922213319	Ccr2
IL-17E	-0.01757226	0.993176634	0.995126173	Ccr2
IL-17F	-0.287024823	0.286179223	0.680697209	Ccr2
IL-18	-1.846251741	4.64449E-12	3.99426E-10	Ccr2
IL-19	0.147888336	0.807913905	0.922213319	Ccr2
IL-1Ra	0.126692848	0.712163195	0.922213319	Ccr2
IL-1a	-0.430542215	0.10708878	0.541743239	Ccr2
IL-1b	-0.341618194	0.184992454	0.589235222	Ccr2
IL-2	-1.230673335	2.57223E-06	0.000110606	Ccr2
IL-20	-0.342943828	0.122238472	0.575241369	Ccr2
IL-21	0.212416683	0.476309651	0.856100876	Ccr2
IL-22	0.19490065	0.499296369	0.866684044	Ccr2
IL-23	-0.107774399	0.675185567	0.922213319	Ccr2
